Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.534,0.342,239.81,2.8,0.0,1.0,0.0
1.352,0.082,239.85,5.6,0.0,0.0,18.0
0.332,0.102,244.35,1.4,0.0,1.0,1.0
3.356,0.086,236.18,14.2,0.0,0.0,17.0
0.474,0.132,242.94,2.0,0.0,0.0,0.0
0.28,0.052,232.27,1.2,0.0,0.0,0.0
0.668,0.344,237.8,3.4,0.0,1.0,1.0
1.0,0.306,240.33,4.2,0.0,0.0,12.0
0.22,0.114,241.28,1.0,0.0,0.0,1.0
2.076,0.284,237.25,8.8,0.0,2.0,30.0
0.436,0.13,241.4,1.8,0.0,0.0,1.0
1.306,0.0,241.7,5.4,0.0,0.0,0.0
0.368,0.066,242.92,1.4,0.0,1.0,0.0
0.5,0.298,238.73,2.4,0.0,1.0,0.0
0.242,0.116,242.5,1.0,0.0,0.0,1.0
0.862,0.046,239.41,3.6,0.0,0.0,1.0
1.434,0.104,243.31,5.8,0.0,0.0,18.0
0.476,0.094,242.29,2.0,0.0,0.0,0.0
1.546,0.33,239.54,6.6,0.0,1.0,18.0
0.272,0.112,239.49,1.2,0.0,2.0,0.0
1.524,0.214,240.18,6.4,0.0,2.0,18.0
0.338,0.112,248.21,1.4,0.0,0.0,0.0
0.208,0.05,236.24,0.8,0.0,0.0,0.0
0.268,0.052,236.19,1.2,0.0,0.0,0.0
3.874,0.4,232.61,17.2,18.0,1.0,18.0
1.21,0.0,241.33,5.0,0.0,0.0,18.0
1.44,0.062,239.05,6.0,0.0,0.0,17.0
1.616,0.204,232.82,7.0,1.0,0.0,17.0
0.08,0.0,239.77,0.2,0.0,0.0,1.0
0.186,0.0,241.01,0.8,0.0,0.0,0.0
0.354,0.204,239.72,1.6,0.0,0.0,0.0
0.3,0.128,241.93,1.4,0.0,0.0,0.0
0.288,0.086,242.65,1.2,0.0,1.0,0.0
0.324,0.11,244.62,1.4,0.0,2.0,1.0
2.708,0.076,242.77,11.0,2.0,0.0,19.0
0.148,0.0,241.57,0.6,0.0,0.0,1.0
1.342,0.08,237.74,5.6,0.0,0.0,18.0
1.08,0.34,238.07,4.8,0.0,0.0,11.0
2.14,0.0,240.2,8.8,2.0,0.0,17.0
0.334,0.09,240.79,1.4,0.0,0.0,0.0
0.186,0.106,239.01,0.8,0.0,0.0,0.0
0.416,0.146,249.08,1.8,0.0,0.0,0.0
1.326,0.156,238.21,5.6,0.0,1.0,17.0
0.234,0.0,242.98,1.0,0.0,0.0,0.0
0.274,0.206,238.72,1.4,0.0,1.0,0.0
1.634,0.336,244.84,6.8,0.0,1.0,19.0
0.226,0.0,243.45,1.0,0.0,0.0,0.0
0.342,0.28,242.76,1.8,0.0,2.0,1.0
0.318,0.256,240.54,1.6,0.0,2.0,1.0
3.92,0.112,240.39,16.2,0.0,0.0,18.0
1.446,0.0,241.44,6.0,0.0,2.0,18.0
0.204,0.09,241.41,1.0,0.0,0.0,0.0
1.596,0.162,245.97,6.4,0.0,3.0,19.0
0.288,0.2,238.0,1.4,0.0,1.0,1.0
0.366,0.224,243.56,1.8,0.0,2.0,0.0
0.26,0.114,240.88,1.2,0.0,1.0,0.0
0.644,0.124,246.28,2.6,0.0,0.0,1.0
1.352,0.05,242.93,5.4,0.0,0.0,19.0
1.038,0.288,238.32,4.6,1.0,0.0,12.0
0.148,0.0,240.81,0.6,0.0,0.0,1.0
0.716,0.052,244.0,3.2,0.0,0.0,0.0
4.676,0.046,237.91,19.6,0.0,38.0,18.0
0.17,0.094,242.11,0.8,0.0,1.0,0.0
0.49,0.0,250.57,2.0,0.0,0.0,1.0
1.7,0.0,244.14,7.0,0.0,0.0,19.0
0.118,0.0,234.69,0.6,0.0,0.0,0.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.49,0.202,246.02,2.2,0.0,0.0,0.0
0.214,0.0,245.75,0.8,0.0,0.0,0.0
0.356,0.186,240.95,1.6,0.0,1.0,0.0
1.4,0.086,241.94,5.8,0.0,2.0,18.0
2.078,0.338,239.71,8.8,0.0,0.0,31.0
0.55,0.196,241.14,2.4,0.0,0.0,1.0
0.428,0.106,245.86,1.8,0.0,0.0,0.0
0.444,0.234,242.68,2.2,0.0,1.0,1.0
1.634,0.0,242.94,6.6,0.0,0.0,18.0
2.294,0.0,241.97,9.4,0.0,0.0,18.0
1.468,0.126,240.85,6.0,0.0,1.0,19.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.32,0.1,245.17,1.4,0.0,1.0,0.0
1.436,0.098,248.47,5.8,0.0,1.0,0.0
0.322,0.182,241.97,1.6,0.0,2.0,0.0
0.252,0.262,242.87,1.4,0.0,0.0,1.0
2.294,0.0,241.29,9.6,0.0,0.0,18.0
1.434,0.112,238.51,6.0,1.0,0.0,18.0
1.704,0.188,240.79,7.0,0.0,4.0,18.0
0.254,0.118,235.89,1.2,0.0,1.0,0.0
0.284,0.222,241.83,1.4,0.0,1.0,0.0
0.408,0.266,241.7,2.0,0.0,2.0,0.0
1.662,0.064,241.41,7.0,0.0,0.0,18.0
2.66,0.082,240.21,11.0,0.0,0.0,18.0
0.338,0.232,240.24,1.6,0.0,2.0,1.0
0.51,0.06,241.51,2.4,0.0,1.0,0.0
0.404,0.12,243.32,1.8,0.0,0.0,1.0
1.214,0.064,239.78,5.0,0.0,0.0,19.0
4.1,0.09,235.21,17.4,37.0,0.0,17.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
1.18,0.0,240.04,4.8,0.0,0.0,0.0
1.712,0.246,241.21,7.0,0.0,2.0,18.0
2.72,0.12,240.59,11.2,0.0,0.0,19.0
0.402,0.122,241.73,1.8,0.0,1.0,0.0
1.806,0.206,243.55,7.4,0.0,0.0,19.0
0.49,0.326,244.74,2.4,0.0,2.0,0.0
0.982,0.34,241.57,4.2,2.0,2.0,1.0
0.332,0.112,240.77,1.4,0.0,0.0,0.0
1.474,0.11,240.23,6.0,2.0,0.0,18.0
2.724,0.104,240.55,11.4,0.0,0.0,1.0
0.272,0.048,244.09,1.2,0.0,0.0,1.0
0.324,0.24,242.57,1.6,0.0,0.0,1.0
0.306,0.058,238.99,1.2,0.0,1.0,0.0
0.298,0.102,242.09,1.2,0.0,2.0,0.0
0.256,0.0,241.23,1.0,0.0,0.0,1.0
0.368,0.362,242.28,2.0,0.0,1.0,0.0
3.552,0.096,238.78,14.8,38.0,1.0,18.0
0.346,0.102,244.45,1.4,0.0,0.0,1.0
1.238,0.0,242.55,5.0,0.0,0.0,19.0
0.292,0.202,242.35,1.4,0.0,0.0,1.0
1.378,0.066,244.95,5.6,0.0,0.0,18.0
2.286,0.28,239.54,9.6,0.0,0.0,29.0
0.444,0.0,243.01,1.8,0.0,0.0,1.0
0.106,0.0,237.61,0.4,0.0,0.0,0.0
1.296,0.096,242.59,5.2,0.0,0.0,19.0
0.348,0.08,242.58,1.4,0.0,0.0,1.0
0.968,0.208,241.5,4.0,0.0,1.0,0.0
0.384,0.188,241.18,1.8,0.0,0.0,0.0
2.332,0.288,237.59,9.8,1.0,0.0,18.0
1.354,0.084,240.4,5.6,2.0,0.0,18.0
4.064,0.22,239.54,17.0,1.0,36.0,1.0
1.148,0.0,243.42,5.0,0.0,0.0,1.0
0.688,0.124,239.91,3.6,0.0,0.0,0.0
0.414,0.17,246.04,1.8,0.0,0.0,0.0
0.73,0.194,239.87,3.0,0.0,0.0,1.0
0.158,0.138,240.37,0.8,0.0,1.0,1.0
0.182,0.074,240.21,0.8,0.0,0.0,1.0
0.542,0.124,241.16,2.4,0.0,0.0,1.0
0.232,0.128,241.54,1.0,0.0,0.0,0.0
0.398,0.238,244.89,1.8,0.0,0.0,0.0
3.576,0.12,239.74,14.8,0.0,0.0,19.0
1.472,0.22,238.84,6.2,0.0,0.0,17.0
0.456,0.334,239.13,2.4,0.0,2.0,0.0
1.29,0.0,239.46,5.4,0.0,0.0,18.0
0.174,0.148,239.43,0.8,0.0,0.0,0.0
0.556,0.082,239.56,2.4,0.0,0.0,0.0
0.556,0.2,239.29,2.4,0.0,1.0,0.0
0.266,0.174,234.13,1.4,0.0,2.0,0.0
0.844,0.0,243.32,5.0,0.0,0.0,0.0
1.962,0.2,237.06,8.2,0.0,0.0,29.0
1.344,0.32,239.82,5.8,0.0,2.0,1.0
1.038,0.368,242.13,4.4,0.0,1.0,1.0
3.652,0.0,242.81,15.4,0.0,0.0,19.0
0.25,0.0,246.82,1.0,0.0,0.0,0.0
1.14,0.0,242.59,4.6,0.0,0.0,0.0
2.26,0.336,235.74,9.6,0.0,1.0,17.0
2.144,0.178,241.03,8.8,0.0,0.0,29.0
0.316,0.122,241.45,1.4,0.0,0.0,0.0
1.508,0.0,240.31,6.2,1.0,0.0,1.0
0.346,0.152,243.91,1.6,0.0,0.0,1.0
0.678,0.302,235.61,3.2,0.0,1.0,0.0
0.238,0.0,244.95,1.0,0.0,0.0,0.0
2.222,0.084,241.08,9.2,0.0,0.0,19.0
0.354,0.082,238.12,1.6,0.0,0.0,0.0
1.476,0.204,238.56,6.2,1.0,2.0,17.0
1.578,0.296,240.93,6.6,0.0,2.0,17.0
1.594,0.0,242.16,6.6,0.0,0.0,19.0
1.008,0.436,239.34,4.6,0.0,2.0,11.0
0.41,0.082,235.95,1.8,0.0,0.0,0.0
1.39,0.114,239.81,5.8,0.0,0.0,19.0
3.492,0.128,239.53,14.6,1.0,37.0,0.0
0.246,0.106,242.41,1.0,0.0,2.0,0.0
0.21,0.068,239.31,1.0,0.0,0.0,1.0
0.376,0.206,240.52,1.8,0.0,0.0,0.0
1.9,0.39,238.91,8.2,0.0,2.0,23.0
2.854,0.256,238.0,12.0,2.0,0.0,18.0
1.338,0.16,239.02,5.6,0.0,0.0,18.0
0.628,0.098,243.16,3.0,0.0,0.0,0.0
0.292,0.0,247.45,1.2,0.0,0.0,0.0
1.494,0.108,240.28,6.2,2.0,0.0,17.0
2.218,0.098,241.01,9.2,0.0,0.0,18.0
0.404,0.216,241.71,1.8,0.0,2.0,0.0
0.236,0.114,241.2,1.0,0.0,0.0,0.0
0.286,0.064,243.67,1.2,0.0,0.0,1.0
1.346,0.152,229.62,5.8,0.0,1.0,16.0
3.018,0.0,233.18,13.0,0.0,0.0,17.0
0.238,0.0,241.52,1.0,0.0,0.0,0.0
0.218,0.0,243.42,0.8,0.0,0.0,0.0
0.308,0.092,244.61,1.2,0.0,1.0,1.0
0.222,0.07,242.5,1.0,0.0,0.0,0.0
1.522,0.06,241.57,6.2,0.0,0.0,18.0
0.35,0.164,243.9,1.6,0.0,0.0,0.0
0.37,0.0,241.6,1.6,0.0,0.0,0.0
0.294,0.0,239.0,1.2,0.0,0.0,0.0
0.172,0.0,240.13,0.8,0.0,0.0,0.0
0.228,0.0,243.87,1.0,0.0,0.0,0.0
0.3,0.126,241.58,1.4,0.0,2.0,0.0
1.316,0.046,236.15,5.6,0.0,0.0,17.0
0.208,0.11,242.04,1.0,0.0,2.0,1.0
0.28,0.0,242.26,1.2,0.0,0.0,0.0
0.28,0.086,241.59,1.2,0.0,0.0,1.0
0.266,0.0,237.43,1.2,0.0,0.0,0.0
0.082,0.0,241.27,0.2,0.0,0.0,1.0
0.24,0.244,240.62,1.4,0.0,2.0,1.0
0.758,0.262,240.93,3.4,0.0,2.0,1.0
1.314,0.0,238.89,5.4,1.0,0.0,18.0
0.248,0.0,245.3,1.0,0.0,0.0,1.0
4.022,0.56,232.02,17.4,1.0,35.0,17.0
0.294,0.09,240.83,1.2,0.0,0.0,0.0
4.71,0.256,238.54,19.8,39.0,0.0,18.0
0.288,0.104,239.0,1.4,0.0,2.0,1.0
1.38,0.09,240.04,5.6,0.0,0.0,18.0
0.358,0.046,236.69,1.8,0.0,0.0,0.0
0.886,0.21,241.07,4.6,0.0,0.0,1.0
0.242,0.0,242.24,1.0,0.0,1.0,0.0
1.448,0.0,243.01,6.0,0.0,0.0,1.0
0.278,0.128,241.24,1.4,0.0,0.0,0.0
0.66,0.078,243.69,2.8,0.0,0.0,0.0
1.156,0.128,247.34,4.6,0.0,0.0,0.0
0.266,0.176,236.64,1.4,0.0,0.0,0.0
0.364,0.094,245.45,1.6,0.0,2.0,0.0
0.352,0.128,243.51,1.4,0.0,0.0,1.0
4.508,0.386,235.83,19.2,0.0,25.0,18.0
2.388,0.0,242.68,9.8,1.0,0.0,19.0
1.384,0.0,238.68,5.8,0.0,0.0,18.0
0.298,0.07,241.28,1.2,0.0,0.0,0.0
1.288,0.0,240.48,5.2,0.0,0.0,18.0
1.444,0.0,251.45,6.0,2.0,16.0,0.0
0.388,0.138,239.94,1.8,0.0,0.0,1.0
0.292,0.074,245.62,1.2,0.0,0.0,0.0
0.664,0.214,238.22,2.8,0.0,7.0,1.0
0.234,0.084,240.17,1.0,0.0,0.0,0.0
0.484,0.206,241.83,2.2,0.0,0.0,0.0
3.884,0.382,235.39,16.6,0.0,37.0,1.0
0.664,0.236,242.69,3.2,0.0,1.0,6.0
0.258,0.0,242.94,1.2,0.0,0.0,0.0
0.196,0.13,240.2,1.0,0.0,0.0,0.0
0.3,0.094,235.37,1.8,0.0,0.0,0.0
1.3,0.11,242.46,5.2,0.0,1.0,19.0
0.512,0.212,239.03,2.4,1.0,0.0,0.0
1.436,0.096,242.27,5.8,0.0,0.0,18.0
0.168,0.0,238.83,0.8,0.0,0.0,1.0
0.454,0.124,239.69,2.0,0.0,0.0,0.0
1.33,0.0,244.49,5.4,0.0,0.0,19.0
0.25,0.254,240.72,1.4,0.0,0.0,1.0
1.534,0.168,238.22,6.4,0.0,0.0,17.0
0.15,0.046,238.81,0.8,0.0,0.0,0.0
0.29,0.062,240.9,1.4,0.0,0.0,0.0
3.388,0.378,233.91,14.4,0.0,1.0,18.0
1.368,0.0,236.58,5.8,0.0,2.0,1.0
6.344,0.176,237.88,26.6,76.0,0.0,18.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
0.33,0.174,245.17,1.6,0.0,0.0,0.0
0.65,0.25,242.25,2.8,0.0,2.0,0.0
3.794,0.182,237.6,16.2,0.0,0.0,1.0
0.482,0.282,241.5,2.2,0.0,1.0,1.0
1.092,0.308,241.09,4.6,0.0,1.0,1.0
2.496,0.046,236.39,10.4,0.0,2.0,17.0
1.306,0.0,243.2,5.2,0.0,0.0,18.0
0.356,0.244,242.19,1.8,0.0,1.0,1.0
1.426,0.174,237.48,6.0,0.0,0.0,17.0
1.574,0.246,244.54,6.4,0.0,2.0,18.0
1.428,0.36,239.82,6.8,0.0,1.0,0.0
0.654,0.07,239.4,2.8,0.0,0.0,0.0
2.056,0.394,242.24,8.6,0.0,0.0,18.0
0.194,0.0,239.9,0.8,0.0,0.0,0.0
1.092,0.366,243.94,4.6,0.0,0.0,12.0
1.62,0.246,239.17,6.8,0.0,2.0,17.0
0.518,0.294,240.71,2.8,0.0,1.0,4.0
3.084,0.224,237.03,13.4,0.0,0.0,17.0
0.408,0.206,243.42,1.8,0.0,1.0,1.0
0.362,0.134,252.11,1.4,0.0,1.0,1.0
1.994,0.166,236.9,8.8,0.0,0.0,18.0
0.908,0.196,240.26,3.8,0.0,0.0,13.0
0.494,0.068,237.48,2.0,0.0,1.0,0.0
0.43,0.122,240.38,1.8,0.0,0.0,1.0
0.852,0.1,237.45,3.6,0.0,0.0,11.0
0.286,0.074,244.61,1.2,0.0,0.0,0.0
0.66,0.082,236.94,3.2,0.0,0.0,4.0
0.45,0.194,241.38,2.0,0.0,2.0,1.0
0.262,0.0,242.03,1.2,0.0,0.0,0.0
0.268,0.0,244.62,1.2,0.0,0.0,0.0
0.238,0.0,241.53,1.0,0.0,0.0,1.0
2.046,0.16,235.32,8.6,0.0,1.0,17.0
1.762,0.088,247.3,9.4,0.0,1.0,0.0
0.354,0.12,242.52,1.4,0.0,0.0,1.0
0.282,0.066,243.26,1.2,0.0,0.0,0.0
0.28,0.0,244.4,1.4,0.0,0.0,0.0
1.65,0.122,238.38,7.0,0.0,0.0,17.0
0.434,0.19,242.04,2.0,0.0,0.0,0.0
0.324,0.092,238.28,1.4,0.0,0.0,1.0
1.346,0.06,239.41,5.6,0.0,0.0,18.0
1.658,0.352,241.64,7.0,0.0,0.0,19.0
0.218,0.114,237.7,1.0,0.0,2.0,1.0
0.558,0.08,243.92,2.4,1.0,0.0,0.0
0.894,0.192,238.13,3.8,0.0,0.0,0.0
0.366,0.24,244.64,1.8,0.0,1.0,0.0
3.352,0.136,239.69,14.4,0.0,29.0,18.0
0.256,0.128,234.03,1.2,0.0,0.0,0.0
0.138,0.0,240.52,0.6,0.0,0.0,0.0
0.338,0.052,239.03,1.4,0.0,0.0,1.0
0.18,0.064,238.41,1.0,0.0,0.0,1.0
0.176,0.154,241.79,0.8,0.0,0.0,1.0
1.188,0.294,242.46,5.0,0.0,1.0,1.0
0.37,0.0,244.11,1.8,0.0,0.0,0.0
0.296,0.064,239.76,1.2,0.0,0.0,0.0
1.436,0.208,239.85,6.0,1.0,0.0,18.0
1.82,0.0,240.45,7.6,0.0,0.0,1.0
0.208,0.106,241.66,1.0,0.0,0.0,1.0
1.258,0.066,239.35,5.2,0.0,0.0,18.0
1.54,0.29,241.32,6.4,0.0,0.0,17.0
0.546,0.082,240.94,2.2,0.0,0.0,1.0
0.3,0.128,239.25,1.4,0.0,0.0,1.0
0.522,0.184,238.31,2.2,0.0,1.0,0.0
1.476,0.212,242.01,6.0,0.0,0.0,19.0
0.432,0.24,241.24,2.0,0.0,0.0,1.0
0.184,0.15,240.13,1.0,0.0,0.0,0.0
0.614,0.23,240.93,2.6,0.0,1.0,1.0
1.452,0.076,238.1,6.0,0.0,1.0,18.0
2.944,0.56,239.32,13.2,1.0,24.0,12.0
0.276,0.0,244.66,1.0,0.0,0.0,0.0
0.594,0.0,243.92,2.4,0.0,0.0,1.0
0.32,0.054,242.79,1.4,0.0,1.0,0.0
0.91,0.156,236.0,4.0,0.0,0.0,0.0
0.128,0.0,239.94,0.6,0.0,0.0,0.0
1.34,0.0,242.68,5.4,0.0,0.0,18.0
0.242,0.0,249.09,1.0,0.0,0.0,0.0
0.3,0.066,246.18,1.4,0.0,0.0,0.0
1.422,0.126,242.62,5.8,0.0,0.0,18.0
0.692,0.104,240.27,3.2,0.0,0.0,0.0
1.158,0.114,239.27,4.8,0.0,0.0,0.0
0.846,0.264,240.27,3.6,0.0,0.0,12.0
3.006,0.262,239.23,12.6,39.0,0.0,0.0
0.346,0.102,241.13,1.6,0.0,1.0,0.0
3.928,0.15,236.79,16.6,0.0,0.0,10.0
1.656,0.0,240.79,6.8,0.0,0.0,18.0
1.292,0.0,238.87,5.4,0.0,0.0,17.0
0.786,0.0,236.57,3.2,0.0,0.0,0.0
0.908,0.074,243.7,4.2,0.0,0.0,14.0
1.636,0.074,239.89,7.0,0.0,0.0,18.0
0.328,0.046,242.72,1.6,0.0,0.0,0.0
2.442,0.0,239.39,10.6,0.0,1.0,18.0
0.718,0.0,244.59,3.4,0.0,0.0,1.0
0.212,0.0,246.9,0.8,0.0,0.0,0.0
0.244,0.0,242.76,1.0,0.0,0.0,0.0
1.57,0.102,238.41,6.6,0.0,0.0,17.0
1.492,0.19,242.45,6.2,0.0,1.0,18.0
0.256,0.0,243.11,1.0,0.0,0.0,1.0
2.798,0.35,240.95,11.6,0.0,0.0,18.0
1.44,0.094,239.88,6.0,0.0,0.0,18.0
0.224,0.05,240.94,1.0,0.0,0.0,1.0
2.294,0.506,241.63,10.0,0.0,0.0,19.0
0.328,0.094,247.7,1.4,0.0,0.0,0.0
0.858,0.0,245.19,3.4,0.0,0.0,1.0
0.368,0.092,245.1,1.4,0.0,2.0,1.0
1.016,0.19,242.38,4.2,0.0,0.0,1.0
0.408,0.216,245.17,1.8,0.0,0.0,0.0
0.22,0.118,238.74,1.0,0.0,0.0,0.0
1.796,0.178,240.37,7.4,0.0,1.0,19.0
0.188,0.0,243.43,0.8,0.0,0.0,1.0
0.406,0.14,240.26,1.8,0.0,2.0,1.0
1.394,0.174,240.44,5.8,1.0,0.0,19.0
0.25,0.118,239.9,1.2,0.0,0.0,0.0
0.744,0.168,240.18,3.2,0.0,1.0,1.0
1.378,0.0,241.38,5.6,0.0,0.0,18.0
1.382,0.0,245.55,5.6,0.0,0.0,19.0
0.228,0.08,239.93,1.0,0.0,0.0,1.0
0.336,0.09,240.56,1.4,0.0,0.0,0.0
0.424,0.246,244.08,2.0,0.0,1.0,0.0
0.516,0.268,243.64,2.4,0.0,0.0,1.0
0.21,0.0,242.21,1.0,0.0,0.0,1.0
0.22,0.082,241.28,1.0,0.0,0.0,0.0
1.75,0.146,239.85,8.8,16.0,0.0,1.0
1.454,0.128,245.94,5.8,0.0,0.0,19.0
0.352,0.106,241.15,1.4,0.0,0.0,0.0
0.238,0.0,246.2,1.0,0.0,0.0,0.0
1.41,0.128,239.58,5.8,1.0,0.0,19.0
0.246,0.12,241.68,1.2,0.0,0.0,1.0
1.742,0.236,238.9,7.4,0.0,0.0,17.0
0.678,0.236,244.69,2.8,0.0,2.0,1.0
0.258,0.0,241.9,1.0,0.0,0.0,1.0
0.218,0.0,244.63,0.8,0.0,0.0,0.0
1.462,0.0,241.56,6.0,0.0,0.0,18.0
1.5,0.094,238.57,6.4,0.0,0.0,18.0
0.39,0.076,237.31,1.8,0.0,0.0,0.0
0.364,0.176,239.93,1.6,0.0,2.0,1.0
0.428,0.252,243.09,2.0,0.0,2.0,0.0
0.328,0.096,245.33,1.4,0.0,0.0,1.0
1.842,0.448,241.3,7.8,1.0,1.0,12.0
2.564,0.144,242.36,10.6,0.0,38.0,1.0
0.348,0.0,242.55,1.4,0.0,0.0,1.0
2.286,0.136,239.45,10.4,32.0,0.0,0.0
1.988,0.068,238.01,9.2,0.0,28.0,0.0
0.266,0.0,244.25,1.0,0.0,0.0,1.0
0.284,0.086,244.5,1.2,0.0,0.0,0.0
0.444,0.0,246.56,1.8,0.0,0.0,1.0
0.45,0.234,245.51,2.0,0.0,1.0,0.0
4.146,0.0,240.49,17.4,0.0,0.0,1.0
1.884,0.248,237.72,8.4,0.0,0.0,18.0
0.282,0.048,236.13,1.2,0.0,0.0,0.0
1.352,0.056,235.18,5.8,0.0,2.0,1.0
1.414,0.09,242.42,5.8,0.0,2.0,18.0
1.222,0.0,242.39,5.0,0.0,0.0,19.0
1.34,0.0,239.5,5.6,0.0,0.0,0.0
0.388,0.196,242.34,1.8,0.0,1.0,1.0
0.254,0.0,245.84,1.0,0.0,0.0,0.0
0.688,0.08,241.45,2.8,0.0,0.0,0.0
2.228,0.07,240.06,9.2,0.0,0.0,0.0
2.16,0.046,235.24,9.2,0.0,0.0,17.0
1.454,0.0,240.53,6.0,0.0,0.0,19.0
0.446,0.0,247.11,1.8,0.0,0.0,0.0
1.0916150365006245,0.12371447630387258,240.8398579745081,4.627759310587134,1.1219233096502186,1.2985199679887571,6.45844735712055
1.546,0.312,242.05,6.4,0.0,1.0,18.0
2.338,0.112,239.84,9.6,0.0,0.0,17.0
0.212,0.0,242.3,0.8,0.0,0.0,0.0
0.364,0.136,241.82,1.6,0.0,0.0,0.0
1.058,0.188,238.7,4.4,0.0,1.0,1.0
2.572,0.0,237.22,10.8,0.0,0.0,0.0
0.236,0.0,240.79,1.0,0.0,0.0,1.0
0.318,0.252,240.18,1.6,0.0,1.0,0.0
1.84,0.142,239.85,7.6,0.0,0.0,19.0
0.444,0.054,246.09,1.8,0.0,0.0,1.0
3.532,0.322,237.99,14.8,39.0,2.0,0.0
3.582,0.062,240.6,15.0,38.0,0.0,18.0
0.296,0.0,243.29,1.2,0.0,0.0,0.0
0.228,0.088,240.23,1.0,0.0,0.0,0.0
0.216,0.142,243.41,1.0,0.0,0.0,0.0
1.192,0.122,247.48,4.8,0.0,0.0,0.0
1.852,0.082,243.17,7.6,0.0,0.0,18.0
0.836,0.128,239.25,3.6,0.0,2.0,0.0
0.08,0.0,240.59,0.2,0.0,0.0,0.0
0.294,0.0,246.48,1.2,0.0,0.0,1.0
0.234,0.092,242.75,1.2,0.0,0.0,0.0
0.514,0.246,242.33,2.4,0.0,0.0,1.0
0.192,0.154,241.43,1.0,0.0,0.0,1.0
0.35,0.218,240.8,1.6,0.0,0.0,1.0
0.216,0.0,244.29,0.8,0.0,0.0,0.0
0.232,0.238,239.16,1.4,0.0,1.0,0.0
0.212,0.0,241.28,0.8,0.0,0.0,0.0
0.392,0.204,240.4,1.8,0.0,0.0,0.0
2.844,0.314,236.7,13.0,19.0,0.0,18.0
0.19,0.096,240.08,0.8,0.0,0.0,0.0
1.256,0.106,237.77,5.6,0.0,2.0,12.0
0.676,0.166,239.93,2.8,0.0,1.0,1.0
3.03,0.098,236.5,13.2,1.0,29.0,0.0
0.44,0.314,238.15,2.2,0.0,1.0,1.0
2.114,0.056,237.98,8.8,0.0,0.0,17.0
0.47,0.23,238.63,2.2,0.0,0.0,0.0
1.07,0.222,240.75,4.6,0.0,0.0,0.0
0.324,0.0,242.24,1.4,0.0,0.0,0.0
0.67,0.09,242.13,2.8,0.0,0.0,0.0
0.768,0.226,241.4,3.2,0.0,2.0,0.0
1.324,0.056,240.03,5.4,0.0,0.0,18.0
0.112,0.0,241.43,0.6,0.0,0.0,0.0
0.46,0.254,242.82,2.2,0.0,0.0,0.0
0.186,0.0,240.17,0.8,0.0,0.0,1.0
1.618,0.078,240.88,6.8,0.0,1.0,19.0
0.244,0.0,242.41,1.2,0.0,0.0,0.0
0.25,0.08,232.47,1.0,0.0,1.0,0.0
2.032,0.0,237.43,8.6,0.0,0.0,21.0
1.22,0.0,236.54,5.0,0.0,0.0,17.0
0.294,0.09,245.04,1.2,0.0,0.0,0.0
0.172,0.152,239.25,0.8,0.0,1.0,1.0
2.752,0.0,239.36,11.4,0.0,0.0,17.0
1.196,0.138,241.89,5.0,0.0,0.0,1.0
0.346,0.12,245.06,1.6,0.0,0.0,1.0
1.126,0.0,239.82,4.6,0.0,0.0,0.0
0.22,0.0,249.35,0.8,0.0,0.0,0.0
3.046,0.31,232.89,13.2,0.0,1.0,17.0
0.258,0.046,241.96,1.2,0.0,0.0,0.0
1.192,0.0,239.5,5.0,1.0,0.0,0.0
1.838,0.198,239.29,7.6,1.0,0.0,19.0
1.72,0.0,243.83,7.0,0.0,1.0,19.0
1.498,0.11,241.24,6.2,1.0,0.0,17.0
1.752,0.108,236.21,7.4,0.0,0.0,18.0
0.304,0.102,239.85,1.2,0.0,0.0,0.0
0.1,0.0,234.26,0.4,0.0,0.0,0.0
3.47,0.0,242.26,14.2,0.0,0.0,0.0
3.564,0.392,239.99,14.8,0.0,1.0,18.0
0.194,0.098,238.11,0.8,0.0,1.0,0.0
0.212,0.0,243.34,0.8,0.0,0.0,0.0
1.958,0.126,241.61,8.0,0.0,1.0,18.0
0.35,0.09,240.86,1.4,0.0,0.0,1.0
0.658,0.09,240.46,2.6,0.0,2.0,1.0
1.56,0.09,240.2,6.6,0.0,0.0,19.0
2.116,0.182,237.34,9.2,26.0,0.0,1.0
0.238,0.0,247.49,1.0,0.0,0.0,1.0
2.192,0.054,240.43,9.0,0.0,0.0,18.0
2.554,0.0,240.12,10.6,1.0,0.0,18.0
0.43,0.214,240.05,2.0,0.0,0.0,0.0
1.422,0.054,238.05,6.0,0.0,0.0,18.0
1.268,0.058,239.49,5.2,0.0,0.0,18.0
1.476,0.202,238.63,6.2,0.0,0.0,18.0
0.854,0.098,240.38,3.6,0.0,0.0,11.0
1.39,0.054,234.29,6.0,0.0,0.0,17.0
